,value,geometry,lon,lat
362,40.0,POINT (661738.7659066652 5590865.060018742),661738.766,5590865.06
363,38.0,POINT (650232.8341406308 5590916.777166448),650232.834,5590916.777
364,35.0,POINT (652817.1839940121 5590835.815014107),652817.184,5590835.815
365,35.0,POINT (656695.968754114 5591244.704985698),656695.969,5591244.705
366,37.0,POINT (638939.4623204957 5590765.833933424),638939.462,5590765.834
367,31.0,POINT (653170.2484681448 5590722.050002511),653170.248,5590722.05
368,40.0,POINT (652234.3681061852 5590640.425945044),652234.368,5590640.426
369,35.0,POINT (656317.9689057252 5590633.006379336),656317.969,5590633.006
370,31.0,POINT (656320.3405122837 5590598.434170269),656320.341,5590598.434
371,33.0,POINT (652912.2018351845 5590711.51713792),652912.202,5590711.517
372,37.0,POINT (657477.4958691843 5590577.355321976),657477.496,5590577.355
373,38.0,POINT (655449.2913981162 5590564.139771069),655449.291,5590564.14
374,19.0,POINT (652543.6793414463 5590508.059609971),652543.679,5590508.06
375,33.0,POINT (656054.3575558538 5590484.076799414),656054.358,5590484.077
